timestamp,views,es_halloween,semana_halloween,dias_para_halloween,views_lag7
2020-06-13,1509,0,0,140,1527.0
2020-06-14,1763,0,0,139,1576.0
2020-06-15,1796,0,0,138,1761.0
2020-06-16,1599,0,0,137,1658.0
2020-06-17,1651,0,0,136,1812.0
2020-06-18,1729,0,0,135,1798.0
2020-06-19,1765,0,0,134,1630.0
2020-06-20,1699,0,0,133,1509.0
2020-06-21,1882,0,0,132,1763.0
2020-06-22,1798,0,0,131,1796.0
2020-06-23,1598,0,0,130,1599.0
2020-06-24,1741,0,0,129,1651.0
2020-06-25,1681,0,0,128,1729.0
2020-06-26,1583,0,0,127,1765.0
2020-06-27,1627,0,0,126,1699.0
2020-06-28,1657,0,0,125,1882.0
2020-06-29,1686,0,0,124,1798.0
2020-06-30,1605,0,0,123,1598.0
2020-07-01,1704,0,0,122,1741.0
2020-07-02,1678,0,0,121,1681.0
2020-07-03,1736,0,0,120,1583.0
2020-07-04,1938,0,0,119,1627.0
2020-07-05,1918,0,0,118,1657.0
2020-07-06,1793,0,0,117,1686.0
2020-07-07,1867,0,0,116,1605.0
2020-07-08,2005,0,0,115,1704.0
2020-07-09,2115,0,0,114,1678.0
2020-07-10,1883,0,0,113,1736.0
2020-07-11,1784,0,0,112,1938.0
2020-07-12,1873,0,0,111,1918.0
2020-07-13,1834,0,0,110,1793.0
2020-07-14,1813,0,0,109,1867.0
2020-07-15,1711,0,0,108,2005.0
2020-07-16,2262,0,0,107,2115.0
2020-07-17,2022,0,0,106,1883.0
2020-07-18,1768,0,0,105,1784.0
2020-07-19,1932,0,0,104,1873.0
2020-07-20,1863,0,0,103,1834.0
2020-07-21,1850,0,0,102,1813.0
2020-07-22,1938,0,0,101,1711.0
2020-07-23,1960,0,0,100,2262.0
2020-07-24,1977,0,0,99,2022.0
2020-07-25,1832,0,0,98,1768.0
2020-07-26,1824,0,0,97,1932.0
2020-07-27,1906,0,0,96,1863.0
2020-07-28,1813,0,0,95,1850.0
2020-07-29,1836,0,0,94,1938.0
2020-07-30,1871,0,0,93,1960.0
2020-07-31,2013,0,0,92,1977.0
2020-08-01,1938,0,0,91,1832.0
2020-08-02,2081,0,0,90,1824.0
2020-08-03,2016,0,0,89,1906.0
2020-08-04,2031,0,0,88,1813.0
2020-08-05,2070,0,0,87,1836.0
2020-08-06,1909,0,0,86,1871.0
2020-08-07,1971,0,0,85,2013.0
2020-08-08,1875,0,0,84,1938.0
2020-08-09,2118,0,0,83,2081.0
2020-08-10,2091,0,0,82,2016.0
2020-08-11,2113,0,0,81,2031.0
2020-08-12,2235,0,0,80,2070.0
2020-08-13,2247,0,0,79,1909.0
2020-08-14,2163,0,0,78,1971.0
2020-08-15,2106,0,0,77,1875.0
2020-08-16,2186,0,0,76,2118.0
2020-08-17,2291,0,0,75,2091.0
2020-08-18,2286,0,0,74,2113.0
2020-08-19,2358,0,0,73,2235.0
2020-08-20,2235,0,0,72,2247.0
2020-08-21,2168,0,0,71,2163.0
2020-08-22,2152,0,0,70,2106.0
2020-08-23,2512,0,0,69,2186.0
2020-08-24,2876,0,0,68,2291.0
2020-08-25,2967,0,0,67,2286.0
2020-08-26,2706,0,0,66,2358.0
2020-08-27,2786,0,0,65,2235.0
2020-08-28,2763,0,0,64,2168.0
2020-08-29,2709,0,0,63,2152.0
2020-08-30,3059,0,0,62,2512.0
2020-08-31,3263,0,0,61,2876.0
2020-09-01,3702,0,0,60,2967.0
2020-09-02,3641,0,0,59,2706.0
2020-09-03,3550,0,0,58,2786.0
2020-09-04,3471,0,0,57,2763.0
2020-09-05,3493,0,0,56,2709.0
2020-09-06,3850,0,0,55,3059.0
2020-09-07,4542,0,0,54,3263.0
2020-09-08,4464,0,0,53,3702.0
2020-09-09,4270,0,0,52,3641.0
2020-09-10,4789,0,0,51,3550.0
2020-09-11,4291,0,0,50,3471.0
2020-09-12,4295,0,0,49,3493.0
2020-09-13,4722,0,0,48,3850.0
2020-09-14,4854,0,0,47,4542.0
2020-09-15,5029,0,0,46,4464.0
2020-09-16,5158,0,0,45,4270.0
2020-09-17,5577,0,0,44,4789.0
2020-09-18,6837,0,0,43,4291.0
2020-09-19,5157,0,0,42,4295.0
2020-09-20,5932,0,0,41,4722.0
2020-09-21,6500,0,0,40,4854.0
2020-09-22,9749,0,0,39,5029.0
2020-09-23,7691,0,0,38,5158.0
2020-09-24,7256,0,0,37,5577.0
2020-09-25,7378,0,0,36,6837.0
2020-09-26,7552,0,0,35,5157.0
2020-09-27,8402,0,0,34,5932.0
2020-09-28,9410,0,0,33,6500.0
2020-09-29,10035,0,0,32,9749.0
2020-09-30,10293,0,0,31,7691.0
2020-10-01,16224,0,0,30,7256.0
2020-10-02,16124,0,0,29,7378.0
2020-10-03,14291,0,0,28,7552.0
2020-10-04,15132,0,0,27,8402.0
2020-10-05,16182,0,0,26,9410.0
2020-10-06,17011,0,0,25,10035.0
2020-10-07,17422,0,0,24,10293.0
2020-10-08,18992,0,0,23,16224.0
2020-10-09,18486,0,0,22,16124.0
2020-10-10,18883,0,0,21,14291.0
2020-10-11,21007,0,0,20,15132.0
2020-10-12,22178,0,0,19,16182.0
2020-10-13,21554,0,0,18,17011.0
2020-10-14,22179,0,0,17,17422.0
2020-10-15,22766,0,0,16,18992.0
2020-10-16,22176,0,0,15,18486.0
2020-10-17,24442,0,0,14,18883.0
2020-10-18,27236,0,0,13,21007.0
2020-10-19,28044,0,0,12,22178.0
2020-10-20,29271,0,0,11,21554.0
2020-10-21,31621,0,0,10,22179.0
2020-10-22,33008,0,0,9,22766.0
2020-10-23,32857,0,0,8,22176.0
2020-10-24,33896,0,1,7,24442.0
2020-10-25,41825,0,1,6,27236.0
2020-10-26,54615,0,1,5,28044.0
2020-10-27,61249,0,1,4,29271.0
2020-10-28,69880,0,1,3,31621.0
2020-10-29,103163,0,1,2,33008.0
2020-10-30,229665,0,1,1,32857.0
2020-10-31,396266,1,1,0,33896.0
2020-11-01,209931,0,0,0,41825.0
2020-11-02,80185,0,0,0,54615.0
2020-11-03,36490,0,0,0,61249.0
2020-11-04,21865,0,0,0,69880.0
2020-11-05,18428,0,0,0,103163.0
2020-11-06,13249,0,0,0,229665.0
2020-11-07,10588,0,0,0,396266.0
2020-11-08,9188,0,0,0,209931.0
2020-11-09,8632,0,0,0,80185.0
2020-11-10,7665,0,0,0,36490.0
2020-11-11,7211,0,0,0,21865.0
2020-11-12,6500,0,0,0,18428.0
2020-11-13,6594,0,0,0,13249.0
2020-11-14,5246,0,0,0,10588.0
2020-11-15,5168,0,0,0,9188.0
2020-11-16,5149,0,0,0,8632.0
2020-11-17,4664,0,0,0,7665.0
2020-11-18,4547,0,0,0,7211.0
2020-11-19,4578,0,0,0,6500.0
2020-11-20,4099,0,0,0,6594.0
2020-11-21,3567,0,0,0,5246.0
